PARM =,MNET;SLAT;SLON,;SELV;TMPF,;SKNT;DRC,T;GUST;PM,SL;ALTI;D,WPF;RELH;,WTHR;P24I,,,,,,,,
STN,YYMMDD/HHMM,MNET,SLAT,SLON,SELV,TMPF,SKNT,DRCT,GUST,PMSL,ALTI,DWPF,RELH,WTHR,P24I
ABAUT,20131012/0200,8,37.84,-109.46,3453,24.58,0.06,250.7,0.38,-9999,-9999,24.58,100,-9999,-9999
ALTU1,20131012/0200,8,37.44,-112.48,2146,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
BDGER,20131012/0200,8,39.34,-108.94,1529,49.06,1.26,355.1,2.26,-9999,-9999,41.07,73.8,-9999,-9999
BULLF,20131012/0200,8,37.52,-110.73,1128,63.2,4.15,80.5,4.42,-9999,-9999,30.18,28.72,-9999,-9999
CAIUT,20131012/0200,8,38.35,-110.95,1381,58.24,2.03,37.88,4.32,-9999,-9999,32.99,38.36,-9999,-9999
CCD,20131012/0200,8,40.69,-111.59,2743,30,4.44,244,9.84,-9999,-9999,-9999,-9999,-9999,-9999
CLK,20131012/0200,8,40.68,-111.57,2529,34.61,4.32,229.6,9.71,-9999,-9999,28,76.5,-9999,-9999
CRN,20131012/0150,8,38.29,-111.26,1676,53.86,0,166.1,2.4,-9999,-9999,30.8,41.14,-9999,-9999
CRN,20131012/0155,8,38.29,-111.26,1676,53.5,2.44,97.9,2.44,-9999,-9999,31.21,42.39,-9999,-9999
CRN,20131012/0200,8,38.29,-111.26,1676,53.5,0.53,154,3.58,-9999,-9999,30.82,41.72,-9999,-9999
CRN,20131012/0205,8,38.29,-111.26,1676,53.86,2.59,188.7,3.24,-9999,-9999,30.66,40.91,-9999,-9999
CRN,20131012/0210,8,38.29,-111.26,1676,53.62,2.86,213,4.38,-9999,-9999,30.84,41.58,-9999,-9999
CRN,20131012/0215,8,38.29,-111.26,1676,53.07,1.45,83.2,2.63,-9999,-9999,31.8,44.1,-9999,-9999
FARM,20131012/0200,8,41,-111.89,1433,48.89,4.69,79.3,5.52,-9999,-9999,29.08,46.1,-9999,-9999
HATU1,20131012/0200,8,37.65,-112.43,2100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
HOL,20131012/0200,8,40.68,-111.83,1402,48.46,2.52,47.26,5.14,-9999,-9999,40.59,74.1,-9999,-9999
MOAB,20131012/0200,8,38.54,-109.51,1364,52.9,2.23,141.9,4.76,-9999,-9999,41.37,64.79,-9999,-9999
OGDU1,20131012/0145,8,41.24,-111.95,1326,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
PKCU1,20131012/0200,8,40.6,-111.58,2664,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
PPCUT,20131012/0200,8,38.67,-109.42,1310,54.93,2.91,158.3,4.76,-9999,-9999,41.28,59.94,-9999,-9999
PRP,20131012/0200,8,41.26,-112.44,2111,41.82,9.52,149.3,9.52,-9999,-9999,31.7,67.06,-9999,-9999
PRP,20131012/0215,8,41.26,-112.44,2111,43.45,8,161,10.63,-9999,-9999,30.13,59.09,-9999,-9999
SB2,20131012/0200,8,41.19,-111.87,2743,29.3,6.2,248.6,13.57,-9999,-9999,-9999,-9999,-9999,-9999
SBE,20131012/0200,8,41.22,-111.86,1925,35.35,1.73,130.5,4.46,-9999,-9999,27.87,73.9,-9999,-9999
SBE,20131012/0215,8,41.22,-111.86,1925,34.1,0.87,134.4,1.9,-9999,-9999,28.07,78.3,-9999,-9999
SLCBY,20131012/0158,8,40.77,-111.96,1286,51.62,5.21,122,0,-9999,-9999,30.43,44,-9999,-9999
SLCBY,20131012/0159,8,40.77,-111.96,1286,51.44,4.34,125,0,-9999,-9999,30.81,45,-9999,-9999
SLCBY,20131012/0200,8,40.77,-111.96,1286,51.44,4.34,123,0,-9999,-9999,30.81,45,-9999,-9999
